模型,平均推理時間(ms),最快(ms),最慢(ms),FPS,偵測成功率(%),平均置信度
YOLOv8s-pose,6.65,5.5,9.52,150.4,100.0,0.9369999766349792
Local YOLO Pose,7.37,5.5,11.01,135.7,100.0,0.9350000023841858
YOLO11s-pose,7.56,6.0,10.51,132.3,100.0,0.9359999895095825
YOLOv8m-pose,7.61,6.5,14.02,131.4,100.0,0.9229999780654907
YOLO11n-pose,7.64,6.5,12.02,130.9,100.0,0.9369999766349792
YOLOv8n-pose,7.89,6.5,11.01,126.7,100.0,0.9350000023841858
YOLO11m-pose,8.87,8.0,13.52,112.7,100.0,0.9340000152587891
MediaPipe Lite,16.92,9.51,26.53,59.1,92.0,0.968
MediaPipe Full,18.33,9.51,26.56,54.6,92.0,0.955
MediaPipe Heavy,30.55,9.51,35.06,32.7,92.0,0.938
